user_id,variant,city,age_group,acquisition,app_open,kyc_started,kyc_completed,first_transaction,repeat_use,kyc_drop_reason
c000072,control,Chennai,31-40,organic,1,1,1,1,1,
c000073,control,Pune,25-30,organic,1,1,0,0,0,selfie_mismatch
c000074,control,Bengaluru,18-24,paid_social,1,1,0,0,0,selfie_mismatch
c000075,control,Bengaluru,18-24,email,1,1,1,1,0,
c000076,control,Kolkata,31-40,referral,1,1,0,0,0,selfie_mismatch
c000077,control,Delhi,41+,organic,1,1,1,1,1,
c000078,control,Bengaluru,18-24,paid_social,1,0,0,0,0,
c000079,control,Delhi,41+,referral,1,1,0,0,0,doc_upload_failed
c000080,control,Kolkata,18-24,email,1,1,0,0,0,session_timeout
c000081,control,Kolkata,18-24,paid_social,1,0,0,0,0,
c000082,control,Delhi,25-30,paid_social,1,1,0,0,0,selfie_mismatch
c000083,control,Pune,18-24,organic,1,0,0,0,0,
c000084,control,Pune,25-30,paid_social,1,1,1,1,1,
c000085,control,Delhi,18-24,email,1,0,0,0,0,
c000086,control,Hyderabad,25-30,referral,1,0,0,0,0,
c000087,control,Hyderabad,18-24,email,1,0,0,0,0,
c000088,control,Kolkata,31-40,paid_social,1,1,0,0,0,user_abandoned
c000089,control,Bengaluru,18-24,referral,1,0,0,0,0,
c000090,control,Kolkata,18-24,paid_social,1,1,0,0,0,user_abandoned
c000091,control,Chennai,25-30,referral,1,1,1,0,0,
c000092,control,Chennai,41+,email,1,1,0,0,0,user_abandoned
c000093,control,Pune,18-24,referral,1,1,0,0,0,selfie_mismatch
c000094,control,Mumbai,31-40,paid_social,1,1,1,1,1,
c000095,control,Chennai,25-30,influencer,1,1,1,0,0,
c000096,control,Mumbai,18-24,organic,1,0,0,0,0,
c000097,control,Hyderabad,31-40,organic,1,1,1,1,0,
c000098,control,Mumbai,25-30,email,1,1,1,1,1,
c000099,control,Hyderabad,31-40,email,1,1,0,0,0,session_timeout
c000100,control,Mumbai,25-30,email,1,1,1,1,1,
c000101,control,Bengaluru,18-24,organic,1,1,1,1,1,
c000102,control,Mumbai,31-40,referral,1,1,1,1,1,
c000103,control,Bengaluru,18-24,organic,1,1,1,1,1,
c000104,control,Mumbai,25-30,paid_social,1,1,0,0,0,selfie_mismatch
c000105,control,Bengaluru,31-40,email,1,1,1,1,0,
c000106,control,Bengaluru,18-24,referral,1,1,1,1,1,
c000107,control,Chennai,18-24,organic,1,1,0,0,0,session_timeout
c000108,control,Delhi,18-24,referral,1,1,1,1,1,
c000109,control,Bengaluru,18-24,organic,1,1,1,0,0,
c000110,control,Delhi,31-40,influencer,1,1,1,1,0,
c000111,control,Chennai,25-30,organic,1,1,1,1,1,
c000112,control,Mumbai,41+,paid_social,1,1,1,1,1,
c000113,control,Bengaluru,18-24,organic,1,1,0,0,0,doc_upload_failed
c000114,control,Delhi,25-30,email,1,1,1,0,0,
c000115,control,Pune,31-40,organic,1,1,0,0,0,user_abandoned
c000116,control,Delhi,25-30,organic,1,0,0,0,0,
c000117,control,Bengaluru,18-24,referral,1,1,1,1,0,
c000118,control,Mumbai,25-30,organic,1,1,1,1,1,
c000119,control,Bengaluru,18-24,email,1,1,0,0,0,doc_upload_failed
c000120,control,Hyderabad,31-40,paid_social,1,1,1,1,0,
c000121,control,Chennai,41+,organic,1,0,0,0,0,
c000122,control,Pune,18-24,organic,1,0,0,0,0,
c000123,control,Delhi,31-40,organic,1,0,0,0,0,
c000124,control,Bengaluru,18-24,organic,1,0,0,0,0,
c000125,control,Hyderabad,25-30,referral,1,0,0,0,0,
c000126,control,Mumbai,31-40,referral,1,1,1,1,0,
c000127,control,Delhi,18-24,influencer,1,1,1,0,0,
c000128,control,Hyderabad,18-24,email,1,1,1,1,0,
c000129,control,Hyderabad,25-30,influencer,1,0,0,0,0,
c000130,control,Bengaluru,18-24,organic,1,0,0,0,0,
c000131,control,Bengaluru,25-30,influencer,1,0,0,0,0,
c000132,control,Mumbai,31-40,organic,1,0,0,0,0,
c000133,control,Bengaluru,25-30,influencer,1,1,1,1,0,
c000134,control,Hyderabad,31-40,referral,1,1,1,1,0,
c000135,control,Delhi,25-30,referral,1,0,0,0,0,
c000136,control,Bengaluru,25-30,referral,1,1,1,0,0,
c000137,control,Pune,25-30,paid_social,1,0,0,0,0,
c000138,control,Hyderabad,18-24,paid_social,1,1,1,1,0,
c000139,control,Pune,25-30,organic,1,0,0,0,0,
c000140,control,Chennai,18-24,email,1,0,0,0,0,
c000141,control,Delhi,25-30,referral,1,1,1,1,1,
c000142,control,Mumbai,25-30,referral,1,0,0,0,0,
c000143,control,Mumbai,18-24,paid_social,1,1,1,1,1,
c000144,control,Bengaluru,25-30,referral,1,0,0,0,0,
c000145,control,Mumbai,25-30,paid_social,1,1,0,0,0,doc_upload_failed
c000146,control,Kolkata,18-24,referral,1,1,0,0,0,session_timeout
c000147,control,Delhi,18-24,paid_social,1,1,0,0,0,doc_upload_failed
c000148,control,Bengaluru,18-24,referral,1,1,1,1,1,
c000149,control,Delhi,25-30,referral,1,1,1,1,0,
c000150,control,Kolkata,25-30,organic,1,1,1,1,1,
c000151,control,Hyderabad,31-40,organic,1,1,1,1,1,
c000152,control,Bengaluru,31-40,organic,1,1,1,1,1,
c000153,control,Hyderabad,31-40,influencer,1,1,0,0,0,doc_upload_failed
c000154,control,Mumbai,31-40,organic,1,1,1,1,1,
c000155,control,Delhi,25-30,influencer,1,0,0,0,0,
c000156,control,Mumbai,18-24,referral,1,1,1,1,1,
c000157,control,Delhi,25-30,organic,1,0,0,0,0,
c000158,control,Chennai,18-24,influencer,1,1,0,0,0,selfie_mismatch
c000159,control,Delhi,18-24,organic,1,1,0,0,0,doc_upload_failed
c000160,control,Bengaluru,31-40,email,1,1,1,1,1,
c000161,control,Pune,18-24,paid_social,1,1,1,1,0,
c000162,control,Bengaluru,18-24,organic,1,0,0,0,0,
c000163,control,Pune,25-30,paid_social,1,1,1,0,0,
c000164,control,Mumbai,25-30,referral,1,1,1,1,1,
c000165,control,Hyderabad,18-24,referral,1,1,1,1,1,
c000166,control,Delhi,25-30,paid_social,1,0,0,0,0,
c000167,control,Chennai,18-24,organic,1,1,1,1,1,
c000168,control,Delhi,18-24,influencer,1,1,1,1,1,
c000169,control,Hyderabad,25-30,organic,1,0,0,0,0,
c000170,control,Chennai,31-40,organic,1,1,1,1,0,
c000171,control,Bengaluru,41+,referral,1,1,1,0,0,
c000172,control,Chennai,31-40,paid_social,1,1,0,0,0,doc_upload_failed
c000173,control,Delhi,18-24,email,1,0,0,0,0,
c000174,control,Bengaluru,31-40,email,1,1,1,0,0,
c000175,control,Bengaluru,31-40,organic,1,0,0,0,0,
c000176,control,Kolkata,41+,referral,1,0,0,0,0,
c000177,control,Pune,18-24,influencer,1,1,1,1,1,
c000178,control,Bengaluru,31-40,referral,1,0,0,0,0,
c000179,control,Bengaluru,18-24,referral,1,0,0,0,0,
c000180,control,Mumbai,25-30,influencer,1,1,1,1,0,
c000181,control,Bengaluru,31-40,referral,1,0,0,0,0,
c000182,control,Chennai,41+,referral,1,0,0,0,0,
c000183,control,Mumbai,25-30,paid_social,1,0,0,0,0,
c000184,control,Kolkata,31-40,referral,1,1,0,0,0,doc_upload_failed
c000185,control,Bengaluru,25-30,organic,1,1,1,1,1,
c000186,control,Kolkata,25-30,referral,1,1,1,0,0,
c000187,control,Chennai,18-24,referral,1,0,0,0,0,
c000188,control,Kolkata,25-30,paid_social,1,1,0,0,0,doc_upload_failed
c000189,control,Kolkata,25-30,paid_social,1,1,1,1,1,
c000190,control,Bengaluru,31-40,referral,1,1,0,0,0,user_abandoned
c000191,control,Pune,41+,organic,1,1,0,0,0,selfie_mismatch
c000192,control,Bengaluru,31-40,organic,1,1,1,1,0,
c000193,control,Bengaluru,31-40,organic,1,1,0,0,0,user_abandoned
c000194,control,Pune,31-40,paid_social,1,1,1,1,1,
c000195,control,Mumbai,31-40,referral,1,1,1,1,1,
c000196,control,Pune,25-30,referral,1,1,0,0,0,session_timeout
c000197,control,Hyderabad,25-30,organic,1,0,0,0,0,
c000198,control,Chennai,31-40,influencer,1,0,0,0,0,
c000199,control,Hyderabad,31-40,paid_social,1,1,1,1,1,
c000200,control,Pune,31-40,organic,1,0,0,0,0,
c000201,control,Bengaluru,18-24,paid_social,1,1,0,0,0,user_abandoned
c000202,control,Delhi,18-24,organic,1,1,0,0,0,selfie_mismatch
c000203,control,Mumbai,25-30,referral,1,0,0,0,0,
c000204,control,Bengaluru,31-40,referral,1,0,0,0,0,
c000205,control,Mumbai,25-30,email,1,1,0,0,0,selfie_mismatch
c000206,control,Bengaluru,18-24,paid_social,1,1,1,1,0,
c000207,control,Bengaluru,31-40,email,1,0,0,0,0,
c000208,control,Chennai,18-24,influencer,1,1,1,1,1,
c000209,control,Chennai,31-40,referral,1,1,0,0,0,session_timeout
c000210,control,Delhi,18-24,influencer,1,1,1,1,0,
c000211,control,Hyderabad,18-24,email,1,1,1,0,0,
c000212,control,Mumbai,25-30,referral,1,1,0,0,0,session_timeout
c000213,control,Pune,18-24,organic,1,1,0,0,0,session_timeout
c000214,control,Pune,25-30,email,1,1,0,0,0,selfie_mismatch
c000215,control,Chennai,31-40,influencer,1,1,1,1,0,
c000216,control,Hyderabad,31-40,referral,1,1,1,1,1,
c000217,control,Bengaluru,25-30,organic,1,1,1,1,1,
c000218,control,Delhi,18-24,organic,1,1,1,1,1,
c000219,control,Hyderabad,31-40,influencer,1,1,1,1,1,
c000220,control,Kolkata,18-24,referral,1,1,0,0,0,selfie_mismatch
c000221,control,Bengaluru,18-24,referral,1,1,1,1,1,
c000222,control,Mumbai,18-24,paid_social,1,1,0,0,0,doc_upload_failed
c000223,control,Bengaluru,18-24,paid_social,1,1,1,0,0,
c000224,control,Bengaluru,25-30,paid_social,1,0,0,0,0,
c000225,control,Hyderabad,31-40,referral,1,0,0,0,0,
c000226,control,Bengaluru,31-40,referral,1,0,0,0,0,
c000227,control,Delhi,25-30,referral,1,0,0,0,0,
c000228,control,Bengaluru,18-24,organic,1,1,0,0,0,doc_upload_failed
c000229,control,Kolkata,18-24,organic,1,0,0,0,0,
c000230,control,Hyderabad,25-30,paid_social,1,1,1,0,0,
c000231,control,Kolkata,31-40,organic,1,1,1,1,1,
c000232,control,Delhi,31-40,paid_social,1,0,0,0,0,
c000233,control,Delhi,18-24,referral,1,0,0,0,0,
c000234,control,Bengaluru,31-40,paid_social,1,1,0,0,0,session_timeout
c000235,control,Pune,41+,referral,1,1,1,0,0,
c000236,control,Bengaluru,25-30,paid_social,1,0,0,0,0,
c000237,control,Bengaluru,31-40,email,1,1,1,0,0,
c000238,control,Bengaluru,31-40,referral,1,1,0,0,0,session_timeout
c000239,control,Delhi,25-30,paid_social,1,1,1,0,0,
c000240,control,Mumbai,31-40,referral,1,0,0,0,0,
c000241,control,Bengaluru,41+,referral,1,1,1,1,1,
c000242,control,Mumbai,31-40,referral,1,1,1,1,1,
c000243,control,Bengaluru,18-24,paid_social,1,1,1,1,0,
c000244,control,Delhi,31-40,organic,1,1,1,1,1,
c000245,control,Pune,18-24,organic,1,1,0,0,0,session_timeout
c000246,control,Delhi,18-24,organic,1,0,0,0,0,
c000247,control,Kolkata,18-24,email,1,1,0,0,0,session_timeout
c000248,control,Delhi,25-30,paid_social,1,1,1,1,0,
c000249,control,Bengaluru,31-40,email,1,1,0,0,0,session_timeout
c000250,control,Pune,18-24,paid_social,1,0,0,0,0,
c000251,control,Kolkata,31-40,referral,1,1,0,0,0,selfie_mismatch
c000252,control,Bengaluru,41+,paid_social,1,1,1,1,1,
c000253,control,Hyderabad,18-24,paid_social,1,0,0,0,0,
c000254,control,Bengaluru,41+,referral,1,0,0,0,0,
c000255,control,Chennai,25-30,paid_social,1,0,0,0,0,
c000256,control,Mumbai,18-24,paid_social,1,0,0,0,0,
c000257,control,Chennai,31-40,referral,1,0,0,0,0,
c000258,control,Bengaluru,25-30,organic,1,1,1,1,0,
c000259,control,Mumbai,25-30,organic,1,1,1,1,0,
c000260,control,Hyderabad,25-30,referral,1,1,0,0,0,session_timeout
c000261,control,Delhi,18-24,referral,1,1,1,1,1,
c000262,control,Hyderabad,31-40,influencer,1,1,0,0,0,doc_upload_failed
c000263,control,Bengaluru,18-24,paid_social,1,0,0,0,0,
c000264,control,Mumbai,41+,organic,1,0,0,0,0,
c000265,control,Mumbai,18-24,referral,1,1,1,1,0,
c000266,control,Delhi,18-24,paid_social,1,1,1,1,1,
c000267,control,Bengaluru,31-40,organic,1,1,0,0,0,doc_upload_failed
c000268,control,Delhi,18-24,email,1,1,0,0,0,selfie_mismatch
c000269,control,Bengaluru,25-30,email,1,1,0,0,0,user_abandoned
c000270,control,Mumbai,18-24,paid_social,1,1,0,0,0,user_abandoned
c000271,control,Mumbai,18-24,influencer,1,1,0,0,0,session_timeout
c000272,control,Hyderabad,18-24,paid_social,1,1,1,1,0,
c000273,control,Pune,18-24,organic,1,1,0,0,0,selfie_mismatch
c000274,control,Delhi,18-24,referral,1,1,1,0,0,
c000275,control,Bengaluru,31-40,referral,1,1,0,0,0,selfie_mismatch
c000276,control,Kolkata,18-24,organic,1,0,0,0,0,
c000277,control,Delhi,18-24,organic,1,1,0,0,0,doc_upload_failed
c000278,control,Mumbai,18-24,referral,1,1,1,1,0,
c000279,control,Mumbai,25-30,influencer,1,1,1,1,1,
c000280,control,Hyderabad,41+,paid_social,1,1,0,0,0,session_timeout
c000281,control,Bengaluru,25-30,email,1,1,0,0,0,doc_upload_failed
c000282,control,Delhi,18-24,referral,1,0,0,0,0,
c000283,control,Mumbai,31-40,influencer,1,0,0,0,0,
c000284,control,Mumbai,25-30,organic,1,0,0,0,0,
c000285,control,Pune,25-30,influencer,1,1,1,1,0,
c000286,control,Bengaluru,31-40,influencer,1,1,1,1,1,
c000287,control,Mumbai,18-24,email,1,1,1,1,1,
c000288,control,Hyderabad,25-30,email,1,1,0,0,0,user_abandoned
c000289,control,Bengaluru,41+,organic,1,0,0,0,0,
c000290,control,Mumbai,31-40,influencer,1,0,0,0,0,
c000291,control,Chennai,18-24,organic,1,1,1,1,1,
c000292,control,Kolkata,25-30,influencer,1,1,0,0,0,user_abandoned
c000293,control,Delhi,25-30,influencer,1,1,1,1,1,
c000294,control,Mumbai,18-24,organic,1,1,0,0,0,session_timeout
c000295,control,Kolkata,25-30,referral,1,1,1,1,0,
c000296,control,Bengaluru,25-30,paid_social,1,1,1,1,1,
c000297,control,Bengaluru,41+,organic,1,1,0,0,0,doc_upload_failed
c000298,control,Bengaluru,18-24,referral,1,1,0,0,0,doc_upload_failed
c000299,control,Delhi,41+,influencer,1,1,1,1,1,
c000300,control,Delhi,18-24,influencer,1,1,1,1,1,
c000301,control,Chennai,31-40,influencer,1,1,1,1,1,
c000302,control,Mumbai,31-40,organic,1,1,1,1,1,
c000303,control,Kolkata,31-40,email,1,1,1,1,1,
c000304,control,Pune,18-24,referral,1,1,1,1,1,
c000305,control,Mumbai,25-30,referral,1,0,0,0,0,
c000306,control,Pune,41+,influencer,1,1,0,0,0,session_timeout
c000307,control,Mumbai,31-40,organic,1,0,0,0,0,
c000308,control,Delhi,25-30,paid_social,1,0,0,0,0,
c000309,control,Hyderabad,25-30,organic,1,1,1,1,1,
c000310,control,Hyderabad,18-24,organic,1,1,1,1,1,
c000311,control,Kolkata,31-40,referral,1,1,1,1,0,
c000312,control,Bengaluru,18-24,organic,1,1,0,0,0,doc_upload_failed
c000313,control,Bengaluru,18-24,email,1,1,0,0,0,selfie_mismatch
c000314,control,Mumbai,18-24,organic,1,1,0,0,0,selfie_mismatch
c000315,control,Delhi,18-24,email,1,0,0,0,0,
c000316,control,Mumbai,41+,paid_social,1,1,0,0,0,user_abandoned
c000317,control,Hyderabad,18-24,referral,1,0,0,0,0,
c000318,control,Mumbai,25-30,referral,1,1,1,0,0,
c000319,control,Mumbai,18-24,organic,1,0,0,0,0,
c000320,control,Hyderabad,18-24,influencer,1,0,0,0,0,
c000321,control,Pune,41+,organic,1,0,0,0,0,
c000322,control,Delhi,31-40,paid_social,1,0,0,0,0,
c000323,control,Hyderabad,18-24,referral,1,0,0,0,0,
c000324,control,Pune,18-24,organic,1,1,0,0,0,user_abandoned
c000325,control,Bengaluru,25-30,influencer,1,0,0,0,0,
c000326,control,Delhi,25-30,referral,1,1,1,1,0,
c000327,control,Hyderabad,31-40,organic,1,1,1,1,0,
c000328,control,Kolkata,18-24,referral,1,0,0,0,0,
c000329,control,Bengaluru,25-30,paid_social,1,1,1,1,0,
c000330,control,Delhi,18-24,influencer,1,1,0,0,0,doc_upload_failed
c000331,control,Kolkata,25-30,referral,1,1,1,0,0,
c000332,control,Kolkata,25-30,referral,1,0,0,0,0,
c000333,control,Pune,25-30,referral,1,1,0,0,0,doc_upload_failed
c000334,control,Hyderabad,25-30,influencer,1,1,1,1,0,
c000335,control,Bengaluru,25-30,paid_social,1,1,1,1,0,
c000336,control,Mumbai,31-40,referral,1,1,1,1,0,
c000337,control,Hyderabad,31-40,referral,1,1,1,1,1,
c000338,control,Bengaluru,18-24,paid_social,1,0,0,0,0,
c000339,control,Kolkata,41+,paid_social,1,1,0,0,0,selfie_mismatch
c000340,control,Bengaluru,25-30,influencer,1,1,1,1,1,
c000341,control,Mumbai,18-24,organic,1,1,0,0,0,doc_upload_failed
c000342,control,Delhi,18-24,email,1,1,1,0,0,
c000343,control,Pune,18-24,influencer,1,1,1,1,1,
c000344,control,Hyderabad,25-30,referral,1,0,0,0,0,
c000345,control,Chennai,18-24,paid_social,1,1,0,0,0,selfie_mismatch
c000346,control,Kolkata,18-24,organic,1,1,1,1,0,
c000347,control,Mumbai,18-24,influencer,1,1,0,0,0,doc_upload_failed
c000348,control,Delhi,18-24,organic,1,0,0,0,0,
c000349,control,Bengaluru,25-30,referral,1,1,0,0,0,doc_upload_failed
c000350,control,Hyderabad,41+,paid_social,1,0,0,0,0,
c000351,control,Bengaluru,25-30,organic,1,0,0,0,0,
c000352,control,Kolkata,18-24,paid_social,1,1,1,1,0,
c000353,control,Hyderabad,18-24,organic,1,1,1,1,0,
c000354,control,Delhi,25-30,organic,1,0,0,0,0,
c000355,control,Hyderabad,18-24,paid_social,1,1,1,1,1,
c000356,control,Bengaluru,41+,influencer,1,1,1,1,0,
c000357,control,Delhi,18-24,referral,1,0,0,0,0,
c000358,control,Delhi,18-24,influencer,1,1,1,1,1,
c000359,control,Chennai,25-30,organic,1,0,0,0,0,
c000360,control,Pune,31-40,organic,1,1,0,0,0,selfie_mismatch
c000361,control,Bengaluru,18-24,referral,1,0,0,0,0,
c000362,control,Delhi,25-30,organic,1,1,0,0,0,session_timeout
c000363,control,Chennai,41+,organic,1,1,1,1,1,
c000364,control,Hyderabad,31-40,referral,1,0,0,0,0,
c000365,control,Delhi,18-24,paid_social,1,0,0,0,0,
c000366,control,Mumbai,31-40,email,1,1,0,0,0,doc_upload_failed
c000367,control,Bengaluru,18-24,influencer,1,1,1,1,0,
c000368,control,Bengaluru,31-40,influencer,1,1,0,0,0,session_timeout
c000369,control,Kolkata,31-40,paid_social,1,1,0,0,0,session_timeout
c000370,control,Bengaluru,18-24,paid_social,1,1,0,0,0,user_abandoned
c000371,control,Bengaluru,31-40,organic,1,0,0,0,0,
c000372,control,Chennai,25-30,paid_social,1,1,1,1,1,
c000373,control,Mumbai,25-30,influencer,1,1,1,1,0,
c000374,control,Bengaluru,18-24,organic,1,1,1,1,0,
c000375,control,Hyderabad,25-30,influencer,1,1,0,0,0,selfie_mismatch
c000376,control,Bengaluru,31-40,referral,1,1,1,1,0,
c000377,control,Mumbai,31-40,organic,1,1,0,0,0,session_timeout
c000378,control,Mumbai,18-24,organic,1,1,0,0,0,user_abandoned
c000379,control,Pune,31-40,influencer,1,1,1,0,0,
c000380,control,Hyderabad,25-30,organic,1,1,1,0,0,
c000381,control,Delhi,25-30,email,1,1,1,1,0,
c000382,control,Pune,18-24,influencer,1,1,0,0,0,selfie_mismatch
c000383,control,Chennai,18-24,email,1,0,0,0,0,
c000384,control,Mumbai,31-40,organic,1,0,0,0,0,
c000385,control,Bengaluru,31-40,referral,1,1,1,1,1,
c000386,control,Mumbai,25-30,organic,1,1,0,0,0,doc_upload_failed
c000387,control,Pune,31-40,paid_social,1,1,0,0,0,doc_upload_failed
c000388,control,Bengaluru,18-24,influencer,1,1,1,0,0,
c000389,control,Pune,25-30,organic,1,0,0,0,0,
c000390,control,Delhi,18-24,organic,1,0,0,0,0,
c000391,control,Hyderabad,31-40,influencer,1,1,1,1,1,
c000392,control,Delhi,31-40,paid_social,1,0,0,0,0,
c000393,control,Delhi,25-30,paid_social,1,1,0,0,0,doc_upload_failed
c000394,control,Delhi,18-24,referral,1,1,0,0,0,user_abandoned
c000395,control,Hyderabad,31-40,referral,1,1,1,1,1,
c000396,control,Delhi,18-24,organic,1,1,0,0,0,session_timeout
c000397,control,Delhi,18-24,paid_social,1,1,1,1,1,
c000398,control,Bengaluru,18-24,organic,1,1,1,1,1,
c000399,control,Delhi,18-24,email,1,1,1,1,1,
c000400,control,Mumbai,25-30,influencer,1,1,0,0,0,user_abandoned
c000401,control,Bengaluru,18-24,referral,1,1,1,0,0,
c000402,control,Hyderabad,25-30,referral,1,0,0,0,0,
c000403,control,Kolkata,31-40,organic,1,1,1,1,1,
c000404,control,Hyderabad,31-40,organic,1,1,1,1,1,
c000405,control,Mumbai,31-40,organic,1,1,1,0,0,
c000406,control,Hyderabad,31-40,referral,1,1,1,1,0,
c000407,control,Hyderabad,31-40,paid_social,1,1,0,0,0,doc_upload_failed
c000408,control,Delhi,18-24,organic,1,1,1,1,1,
c000409,control,Bengaluru,18-24,paid_social,1,1,0,0,0,selfie_mismatch
c000410,control,Pune,31-40,referral,1,1,1,1,0,
c000411,control,Delhi,31-40,influencer,1,0,0,0,0,
c000412,control,Pune,25-30,referral,1,1,1,1,0,
c000413,control,Hyderabad,25-30,organic,1,1,1,0,0,
c000414,control,Mumbai,18-24,organic,1,1,0,0,0,session_timeout
c000415,control,Bengaluru,25-30,referral,1,1,1,1,1,
c000416,control,Kolkata,25-30,paid_social,1,1,1,1,1,
c000417,control,Kolkata,25-30,organic,1,1,1,1,1,
c000418,control,Chennai,25-30,organic,1,0,0,0,0,
c000419,control,Bengaluru,41+,referral,1,0,0,0,0,
c000420,control,Hyderabad,31-40,email,1,1,0,0,0,session_timeout
c000421,control,Mumbai,18-24,referral,1,1,1,1,0,
c000422,control,Chennai,25-30,referral,1,1,1,1,1,
c000423,control,Mumbai,41+,paid_social,1,1,1,1,1,
c000424,control,Hyderabad,25-30,referral,1,0,0,0,0,
c000425,control,Pune,25-30,paid_social,1,1,1,1,1,
c000426,control,Delhi,25-30,organic,1,0,0,0,0,
c000427,control,Pune,31-40,referral,1,0,0,0,0,
c000428,control,Bengaluru,31-40,organic,1,0,0,0,0,
c000429,control,Mumbai,31-40,email,1,1,1,0,0,
c000430,control,Delhi,31-40,paid_social,1,1,1,1,0,
c000431,control,Mumbai,25-30,referral,1,1,0,0,0,user_abandoned
